MODIFIER;INF;CAV;MOT;MECH;L ARM;ARM;PARA;MAR;MTN;GARR;HQ;MIL;MR F;INT F;STR B;TAC B;NAV B;CAS;TRA P;FL B;FL R;BB;CL;CA;BC;DD;CV;CVL;SUB;NSUB;TRA;X
DEF_NIGHT;-33;-80;-80;-80;-80;-80;-80;-80;-80;-80;-80;-80;-50;-50;-50;-50;-50;-50;-50;0;0;0;0;0;0;0;0;0;15;15;0;X
DEF_DESERT;-10;-33;-10;-10;-10;-10;-5;-10;-10;-10;-10;-10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X
DEF_MOUNTAIN;25;25;25;15;15;15;35;25;50;25;25;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X
DEF_HILL;5;5;5;5;5;5;10;5;25;5;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X
DEF_FOREST;10;10;20;10;10;10;30;20;20;10;10;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X
DEF_JUNGLE;40;40;40;15;15;10;45;50;40;40;40;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X
DEF_SWAMP;20;20;20;10;10;10;25;30;20;20;20;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X
DEF_URBAN;33;0;33;20;5;0;40;33;33;10;10;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X
MOV_BLIZZARD;-70;-70;-70;-70;-70;-70;-60;-70;-60;-70;-70;-70;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X
MOV_SNOW;-35;-50;-50;-50;-50;-50;-30;-50;-20;-40;-40;-40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X
MOV_FROZEN;-60;-40;-40;-40;-40;-40;-20;-40;-10;-30;-30;-30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X
MOV_RAIN;-10;-10;-10;-10;-10;-10;-10;-10;-10;-10;-10;-10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X
MOV_STORM;-25;-25;-25;-25;-25;-25;-25;-25;-25;-25;-25;-25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X
MOV_MUDDY;-50;-20;-80;-50;-40;-50;-15;-20;-20;-20;-20;-20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X
MOV_NIGHT;-15;-15;-15;-15;-15;-15;-10;-15;-15;-15;-15;-15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X
MOV_DESERT;-33;-70;-33;-33;-33;-33;-25;-33;-33;-33;-33;-33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X
MOV_MOUNTAIN;-33;-33;-50;-50;-50;-50;-20;-33;0;-33;-33;-33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X
MOV_HILL;-15;-15;-15;-15;-15;-15;-5;-15;0;-15;-15;-15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X
MOV_FOREST;-15;-15;-15;-15;-15;-15;-10;-15;-15;-15;-15;-15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X
MOV_JUNGLE;-33;-33;-70;-70;-65;-70;-20;-15;-33;-33;-33;-33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X
MOV_SWAMP;-33;-33;-70;-70;-65;-70;-20;-15;-33;-33;-33;-33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X
MOV_URBAN;10;-20;-20;-20;-15;-20;10;10;10;10;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X
EOF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X
